epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.7570000290870667,7,-1.0,-1.0,0.7450000047683716,0.5600000023841858
1.0,0.699999988079071,15,-1.0,-1.0,0.41100001335144043,0.5600000023841858
2.0,0.7319999933242798,23,-1.0,-1.0,0.38499999046325684,0.5600000023841858
3.0,0.8149999976158142,31,-1.0,-1.0,0.25600001215934753,0.6000000238418579
4.0,1.0399999618530273,39,-1.0,-1.0,0.1850000023841858,0.5199999809265137
5.0,1.024999976158142,47,-1.0,-1.0,0.09399999678134918,0.5199999809265137
6.0,1.180999994277954,55,-1.0,-1.0,0.06199999898672104,0.6000000238418579
7.0,1.5770000219345093,63,-1.0,-1.0,0.017000000923871994,0.5600000023841858
8.0,1.4989999532699585,71,-1.0,-1.0,0.029999999329447746,0.6399999856948853
9.0,1.5950000286102295,79,-1.0,-1.0,0.009999999776482582,0.5600000023841858
10.0,1.7910000085830688,87,-1.0,-1.0,0.020999999716877937,0.5600000023841858
11.0,1.9210000038146973,95,-1.0,-1.0,0.014999999664723873,0.5600000023841858
12.0,1.9259999990463257,103,-1.0,-1.0,0.0989999994635582,0.6000000238418579
13.0,1.7100000381469727,111,-1.0,-1.0,0.017999999225139618,0.6399999856948853
14.0,1.5880000591278076,119,-1.0,-1.0,0.014999999664723873,0.6800000071525574
15.0,1.559000015258789,127,-1.0,-1.0,0.054999999701976776,0.6000000238418579
16.0,1.6770000457763672,135,-1.0,-1.0,0.0430000014603138,0.6000000238418579
17.0,2.1019999980926514,143,-1.0,-1.0,0.03999999910593033,0.6000000238418579
18.0,1.9359999895095825,151,-1.0,-1.0,0.06599999964237213,0.6000000238418579
19.0,2.1040000915527344,159,-1.0,-1.0,0.0689999982714653,0.6000000238418579
20.0,2.2980000972747803,167,-1.0,-1.0,0.12399999797344208,0.6000000238418579
21.0,2.119999885559082,175,-1.0,-1.0,0.3610000014305115,0.4399999976158142
22.0,1.4509999752044678,183,-1.0,-1.0,0.09399999678134918,0.5199999809265137
23.0,1.7890000343322754,191,-1.0,-1.0,0.3050000071525574,0.6000000238418579
24.0,2.052000045776367,199,-1.0,-1.0,0.0989999994635582,0.6000000238418579
25.0,2.010999917984009,207,-1.0,-1.0,0.0430000014603138,0.6399999856948853
26.0,1.659999966621399,215,-1.0,-1.0,0.8529999852180481,0.6000000238418579
27.0,1.6380000114440918,223,-1.0,-1.0,0.052000001072883606,0.6000000238418579
28.0,2.9509999752044678,231,-1.0,-1.0,0.17399999499320984,0.5600000023841858
29.0,2.9839999675750732,239,-1.0,-1.0,0.02500000037252903,0.6000000238418579
30.0,2.2829999923706055,247,-1.0,1.0,0.010999999940395355,0.5600000023841858
