epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.6800000071525574,9,-1.0,-1.0,0.8410000205039978,0.6000000238418579
1.0,0.6589999794960022,19,-1.0,-1.0,0.8069999814033508,0.550000011920929
2.0,0.7129999995231628,29,-1.0,-1.0,0.6629999876022339,0.44999998807907104
3.0,0.7129999995231628,39,-1.0,-1.0,0.6539999842643738,0.44999998807907104
4.0,0.6710000038146973,49,-1.0,-1.0,0.6629999876022339,0.5
5.0,0.6660000085830688,59,-1.0,-1.0,0.7279999852180481,0.6000000238418579
6.0,0.671999990940094,69,-1.0,-1.0,0.5370000004768372,0.699999988079071
7.0,0.9419999718666077,79,-1.0,-1.0,0.4880000054836273,0.550000011920929
8.0,0.5929999947547913,89,-1.0,-1.0,0.4650000035762787,0.699999988079071
9.0,0.9879999756813049,99,-1.0,-1.0,0.3709999918937683,0.6499999761581421
10.0,0.875,109,-1.0,-1.0,0.36399999260902405,0.800000011920929
11.0,0.9480000138282776,119,-1.0,-1.0,0.3089999854564667,0.699999988079071
12.0,0.8169999718666077,129,-1.0,-1.0,0.3400000035762787,0.699999988079071
13.0,1.1629999876022339,139,-1.0,-1.0,0.2879999876022339,0.6499999761581421
14.0,0.9079999923706055,149,-1.0,-1.0,0.2840000092983246,0.6499999761581421
15.0,1.1080000400543213,159,-1.0,-1.0,0.31299999356269836,0.6499999761581421
16.0,2.0209999084472656,169,-1.0,-1.0,0.24899999797344208,0.550000011920929
17.0,1.0670000314712524,179,-1.0,-1.0,0.23899999260902405,0.75
18.0,1.1920000314712524,189,-1.0,-1.0,0.19099999964237213,0.75
19.0,1.6890000104904175,199,-1.0,-1.0,0.16200000047683716,0.6499999761581421
20.0,1.2860000133514404,209,-1.0,-1.0,0.24799999594688416,0.699999988079071
21.0,1.4240000247955322,219,-1.0,-1.0,0.14900000393390656,0.800000011920929
22.0,1.1050000190734863,229,-1.0,-1.0,0.1589999943971634,0.6499999761581421
23.0,1.9259999990463257,239,-1.0,-1.0,0.13300000131130219,0.75
24.0,2.134000062942505,249,-1.0,-1.0,0.16599999368190765,0.699999988079071
25.0,1.2109999656677246,259,-1.0,-1.0,0.2240000069141388,0.6000000238418579
26.0,1.4809999465942383,269,-1.0,-1.0,0.11400000005960464,0.550000011920929
27.0,2.3389999866485596,279,-1.0,-1.0,0.3050000071525574,0.550000011920929
28.0,1.2319999933242798,289,-1.0,-1.0,0.5230000019073486,0.699999988079071
29.0,1.3839999437332153,299,-1.0,-1.0,0.20499999821186066,0.699999988079071
30.0,1.4989999532699585,309,-1.0,0.949999988079071,0.10700000077486038,0.6499999761581421
