epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.7850000262260437,7,-1.0,-1.0,0.9309999942779541,0.47999998927116394
1.0,0.7940000295639038,15,-1.0,-1.0,0.5529999732971191,0.47999998927116394
2.0,0.8100000023841858,23,-1.0,-1.0,0.39500001072883606,0.47999998927116394
3.0,0.9039999842643738,31,-1.0,-1.0,0.3310000002384186,0.47999998927116394
4.0,0.9829999804496765,39,-1.0,-1.0,0.15199999511241913,0.6399999856948853
5.0,1.1859999895095825,47,-1.0,-1.0,0.08900000154972076,0.6000000238418579
6.0,1.4160000085830688,55,-1.0,-1.0,0.054999999701976776,0.6000000238418579
7.0,1.4800000190734863,63,-1.0,-1.0,0.05700000002980232,0.6399999856948853
8.0,1.9199999570846558,71,-1.0,-1.0,0.04100000113248825,0.6000000238418579
9.0,1.819000005722046,79,-1.0,-1.0,0.01899999938905239,0.6000000238418579
10.0,1.7760000228881836,87,-1.0,-1.0,0.035999998450279236,0.5600000023841858
11.0,1.8769999742507935,95,-1.0,-1.0,0.05400000140070915,0.5600000023841858
12.0,1.7209999561309814,103,-1.0,-1.0,0.04699999839067459,0.6399999856948853
13.0,1.7089999914169312,111,-1.0,-1.0,0.028999999165534973,0.7200000286102295
14.0,2.1619999408721924,119,-1.0,-1.0,0.017000000923871994,0.6399999856948853
15.0,1.968999981880188,127,-1.0,-1.0,0.007000000216066837,0.6399999856948853
16.0,1.899999976158142,135,-1.0,-1.0,0.020999999716877937,0.7200000286102295
17.0,2.25,143,-1.0,-1.0,0.023000000044703484,0.6399999856948853
18.0,2.2939999103546143,151,-1.0,-1.0,0.023000000044703484,0.6399999856948853
19.0,2.2709999084472656,159,-1.0,-1.0,0.06199999898672104,0.5199999809265137
20.0,1.8309999704360962,167,-1.0,-1.0,0.09600000083446503,0.6399999856948853
21.0,1.5470000505447388,175,-1.0,-1.0,0.11699999868869781,0.6399999856948853
22.0,1.3860000371932983,183,-1.0,-1.0,0.026000000536441803,0.6000000238418579
23.0,1.6469999551773071,191,-1.0,-1.0,0.02199999988079071,0.6000000238418579
24.0,1.5839999914169312,199,-1.0,-1.0,0.035999998450279236,0.6399999856948853
25.0,1.777999997138977,207,-1.0,-1.0,0.009999999776482582,0.6000000238418579
26.0,2.130000114440918,215,-1.0,-1.0,0.01600000075995922,0.6000000238418579
27.0,2.184999942779541,223,-1.0,-1.0,0.01899999938905239,0.6000000238418579
28.0,2.0880000591278076,231,-1.0,-1.0,0.004000000189989805,0.5600000023841858
29.0,1.3969999551773071,239,-1.0,-1.0,0.028999999165534973,0.6000000238418579
30.0,1.4140000343322754,247,-1.0,0.9869999885559082,0.06800000369548798,0.6000000238418579
