epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.5950000286102295,9,-1.0,-1.0,0.6660000085830688,0.6499999761581421
1.0,0.6299999952316284,19,-1.0,-1.0,0.4269999861717224,0.6499999761581421
2.0,0.6940000057220459,29,-1.0,-1.0,0.22699999809265137,0.75
3.0,0.9110000133514404,39,-1.0,-1.0,0.23199999332427979,0.699999988079071
4.0,0.8690000176429749,49,-1.0,-1.0,0.16200000047683716,0.6000000238418579
5.0,0.9129999876022339,59,-1.0,-1.0,0.06499999761581421,0.6499999761581421
6.0,0.9649999737739563,69,-1.0,-1.0,0.032999999821186066,0.699999988079071
7.0,0.9789999723434448,79,-1.0,-1.0,0.10400000214576721,0.75
8.0,1.246999979019165,89,-1.0,-1.0,0.01899999938905239,0.6000000238418579
9.0,0.9290000200271606,99,-1.0,-1.0,0.01899999938905239,0.6499999761581421
10.0,0.7870000004768372,109,-1.0,-1.0,0.004999999888241291,0.699999988079071
11.0,0.8270000219345093,119,-1.0,-1.0,0.006000000052154064,0.699999988079071
12.0,1.097000002861023,129,-1.0,-1.0,0.024000000208616257,0.75
13.0,1.309000015258789,139,-1.0,-1.0,0.010999999940395355,0.75
14.0,1.3569999933242798,149,-1.0,-1.0,0.01600000075995922,0.699999988079071
15.0,0.847000002861023,159,-1.0,-1.0,0.017000000923871994,0.800000011920929
16.0,1.315000057220459,169,-1.0,-1.0,0.054999999701976776,0.75
17.0,1.0770000219345093,179,-1.0,-1.0,0.04800000041723251,0.699999988079071
18.0,1.0379999876022339,189,-1.0,-1.0,0.019999999552965164,0.699999988079071
19.0,1.7209999561309814,199,-1.0,-1.0,0.04800000041723251,0.699999988079071
20.0,2.49399995803833,209,-1.0,-1.0,0.03500000014901161,0.6000000238418579
21.0,2.302999973297119,219,-1.0,-1.0,0.017000000923871994,0.6000000238418579
22.0,2.078000068664551,229,-1.0,-1.0,0.06800000369548798,0.6499999761581421
23.0,1.6970000267028809,239,-1.0,-1.0,0.04899999871850014,0.75
24.0,1.5640000104904175,249,-1.0,-1.0,0.07699999958276749,0.75
25.0,1.4249999523162842,259,-1.0,-1.0,0.014999999664723873,0.75
26.0,1.4910000562667847,269,-1.0,-1.0,0.006000000052154064,0.699999988079071
27.0,1.3300000429153442,279,-1.0,-1.0,0.01899999938905239,0.800000011920929
28.0,1.4759999513626099,289,-1.0,-1.0,0.004000000189989805,0.800000011920929
29.0,1.6200000047683716,299,-1.0,-1.0,0.004999999888241291,0.800000011920929
30.0,2.1530001163482666,309,-1.0,1.0,0.012000000104308128,0.6499999761581421
