epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,1.2339999675750732,3,-1.0,-1.0,0.7440000176429749,0.5
1.0,-1.0,1.2109999656677246,7,-1.0,-1.0,0.9440000057220459,0.47999998927116394
2.0,-1.0,0.8679999709129333,11,-1.0,-1.0,0.6460000276565552,0.5099999904632568
3.0,-1.0,1.3220000267028809,15,-1.0,-1.0,0.6259999871253967,0.5299999713897705
4.0,-1.0,1.7089999914169312,19,-1.0,-1.0,0.5740000009536743,0.44999998807907104
5.0,-1.0,1.3910000324249268,23,-1.0,-1.0,0.6980000138282776,0.5099999904632568
6.0,-1.0,0.9769999980926514,27,-1.0,-1.0,0.5849999785423279,0.5099999904632568
7.0,-1.0,1.1859999895095825,31,-1.0,-1.0,0.46700000762939453,0.5
8.0,-1.0,1.4980000257492065,35,-1.0,-1.0,0.5509999990463257,0.47999998927116394
9.0,-1.0,1.3919999599456787,39,-1.0,-1.0,0.3709999918937683,0.47999998927116394
10.0,-1.0,1.6990000009536743,43,-1.0,-1.0,0.38600000739097595,0.5199999809265137
11.0,-1.0,1.6430000066757202,47,-1.0,-1.0,0.3149999976158142,0.49000000953674316
12.0,-1.0,1.4989999532699585,51,-1.0,-1.0,0.2750000059604645,0.5699999928474426
13.0,-1.0,2.078000068664551,55,-1.0,-1.0,0.24199999868869781,0.4699999988079071
14.0,-1.0,2.11299991607666,59,-1.0,-1.0,0.18799999356269836,0.5299999713897705
15.0,-1.0,2.3610000610351562,63,-1.0,-1.0,0.3089999854564667,0.5199999809265137
16.0,-1.0,2.565999984741211,67,-1.0,-1.0,0.28200000524520874,0.5699999928474426
17.0,-1.0,2.1549999713897705,71,-1.0,-1.0,0.22200000286102295,0.5400000214576721
18.0,-1.0,1.9420000314712524,75,-1.0,-1.0,0.16200000047683716,0.5600000023841858
19.0,-1.0,2.128999948501587,79,-1.0,-1.0,0.10400000214576721,0.5699999928474426
20.0,-1.0,2.499000072479248,83,-1.0,-1.0,0.10000000149011612,0.5600000023841858
21.0,-1.0,2.882999897003174,87,-1.0,-1.0,0.06199999898672104,0.550000011920929
22.0,-1.0,3.4590001106262207,91,-1.0,-1.0,0.07100000232458115,0.5400000214576721
23.0,-1.0,3.938999891281128,95,-1.0,-1.0,0.0430000014603138,0.5299999713897705
24.0,-1.0,3.744999885559082,99,-1.0,-1.0,0.07400000095367432,0.5199999809265137
25.0,-1.0,3.7320001125335693,103,-1.0,-1.0,0.36800000071525574,0.5899999737739563
26.0,-1.0,5.165999889373779,107,-1.0,-1.0,0.023000000044703484,0.6000000238418579
27.0,-1.0,3.249000072479248,111,-1.0,-1.0,0.23499999940395355,0.6399999856948853
28.0,-1.0,2.187999963760376,115,-1.0,-1.0,0.3089999854564667,0.6299999952316284
29.0,-1.0,2.490000009536743,119,-1.0,-1.0,0.08299999684095383,0.6399999856948853
30.0,-1.0,2.871000051498413,123,-1.0,0.8999999761581421,0.1899999976158142,0.5899999737739563
