epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.6589999794960022,7,-1.0,-1.0,0.9879999756813049,0.6399999856948853
1.0,0.7070000171661377,15,-1.0,-1.0,0.4449999928474426,0.47999998927116394
2.0,0.7080000042915344,23,-1.0,-1.0,0.37700000405311584,0.6000000238418579
3.0,0.7689999938011169,31,-1.0,-1.0,0.33000001311302185,0.6000000238418579
4.0,0.824999988079071,39,-1.0,-1.0,0.16899999976158142,0.6000000238418579
5.0,1.1339999437332153,47,-1.0,-1.0,0.14800000190734863,0.6000000238418579
6.0,1.0399999618530273,55,-1.0,-1.0,0.10499999672174454,0.6399999856948853
7.0,0.8650000095367432,63,-1.0,-1.0,0.07400000095367432,0.6800000071525574
8.0,1.2410000562667847,71,-1.0,-1.0,0.10000000149011612,0.6399999856948853
9.0,1.0499999523162842,79,-1.0,-1.0,0.04800000041723251,0.6399999856948853
10.0,0.9340000152587891,87,-1.0,-1.0,0.054999999701976776,0.7599999904632568
11.0,1.1299999952316284,95,-1.0,-1.0,0.026000000536441803,0.6399999856948853
12.0,0.9909999966621399,103,-1.0,-1.0,0.05900000035762787,0.7599999904632568
13.0,1.1150000095367432,111,-1.0,-1.0,0.07100000232458115,0.7599999904632568
14.0,1.9470000267028809,119,-1.0,-1.0,0.028999999165534973,0.6000000238418579
15.0,1.7680000066757202,127,-1.0,-1.0,0.03200000151991844,0.6000000238418579
16.0,1.3049999475479126,135,-1.0,-1.0,0.009999999776482582,0.7200000286102295
17.0,1.315999984741211,143,-1.0,-1.0,0.003000000026077032,0.6800000071525574
18.0,2.490000009536743,151,-1.0,-1.0,0.11800000071525574,0.5600000023841858
19.0,1.6440000534057617,159,-1.0,-1.0,0.11500000208616257,0.6000000238418579
20.0,1.093999981880188,167,-1.0,-1.0,0.08299999684095383,0.6800000071525574
21.0,1.2450000047683716,175,-1.0,-1.0,0.017000000923871994,0.6000000238418579
22.0,1.3600000143051147,183,-1.0,-1.0,0.05400000140070915,0.6399999856948853
23.0,0.972000002861023,191,-1.0,-1.0,0.02199999988079071,0.7599999904632568
24.0,1.6180000305175781,199,-1.0,-1.0,0.05900000035762787,0.6399999856948853
25.0,1.8660000562667847,207,-1.0,-1.0,0.06300000101327896,0.6399999856948853
26.0,1.409999966621399,215,-1.0,-1.0,0.08500000089406967,0.6399999856948853
27.0,1.562999963760376,223,-1.0,-1.0,0.012000000104308128,0.6399999856948853
28.0,1.6690000295639038,231,-1.0,-1.0,0.004999999888241291,0.6399999856948853
29.0,2.0329999923706055,239,-1.0,-1.0,0.017000000923871994,0.6399999856948853
30.0,2.302000045776367,247,-1.0,1.0,0.006000000052154064,0.6399999856948853
