epoch,eval_loss,step,train_loss
0.0,0.0,246,0.6470000147819519
1.0,0.0,493,0.6060000061988831
2.0,0.0,740,0.5839999914169312
3.0,0.0010000000474974513,987,0.5680000185966492
4.0,0.0020000000949949026,1234,0.5600000023841858
5.0,0.0020000000949949026,1481,0.5540000200271606
6.0,0.0,1728,0.5410000085830688
7.0,0.0010000000474974513,1975,0.5440000295639038
8.0,0.0010000000474974513,2222,0.5360000133514404
9.0,0.0010000000474974513,2469,0.5270000100135803
10.0,0.0010000000474974513,2716,0.5289999842643738
11.0,0.0,2963,0.5220000147819519
12.0,0.0010000000474974513,3210,0.5040000081062317
13.0,0.0,3457,0.5090000033378601
14.0,0.0,3704,0.4970000088214874
15.0,0.0,3951,0.4950000047683716
16.0,0.0,4198,0.47999998927116394
17.0,0.0,4445,0.4869999885559082
18.0,0.0,4692,0.47999998927116394
19.0,0.0,4939,0.46000000834465027
20.0,0.0,5186,0.453000009059906
21.0,0.0,5433,0.44600000977516174
22.0,0.0,5680,0.43299999833106995
23.0,0.0,5927,0.42800000309944153
24.0,0.0,6174,0.41999998688697815
25.0,0.0,6421,0.40400001406669617
26.0,0.0,6668,0.39899998903274536
27.0,0.0,6915,0.3889999985694885
28.0,0.0,7162,0.37599998712539673
29.0,0.0,7409,0.367000013589859
30.0,0.0,7656,0.36500000953674316
31.0,0.0,7903,0.3499999940395355
32.0,0.0,8150,0.3499999940395355
33.0,0.0,8397,0.32199999690055847
34.0,0.0,8644,0.32199999690055847
35.0,0.0,8891,0.3199999928474426
36.0,0.0,9138,0.30399999022483826
37.0,0.0,9385,0.2879999876022339
38.0,0.0,9632,0.2980000078678131
39.0,0.0,9879,0.2849999964237213
40.0,0.0,10126,0.27000001072883606
41.0,0.0,10373,0.2590000033378601
42.0,0.0,10620,0.25699999928474426
43.0,0.0,10867,0.2409999966621399
44.0,0.0,11114,0.24400000274181366
45.0,0.0,11361,0.23499999940395355
46.0,0.0,11608,0.22300000488758087
47.0,0.0,11855,0.22300000488758087
48.0,0.0,12102,0.20800000429153442
49.0,0.0,12349,0.20499999821186066
50.0,0.0,12596,0.1940000057220459
51.0,0.0,12843,0.19900000095367432
52.0,0.0,13090,0.20600000023841858
53.0,0.0,13337,0.19099999964237213
54.0,0.0,13584,0.18199999630451202
55.0,0.0,13831,0.17100000381469727
56.0,0.0,14078,0.16899999976158142
57.0,0.0,14325,0.17299999296665192
58.0,0.0,14572,0.16500000655651093
59.0,0.0,14819,0.16699999570846558
60.0,0.0,15066,0.16099999845027924
