epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,0.6840000152587891,3,-1.0,-1.0,0.6790000200271606,0.6100000143051147
1.0,-1.0,0.6679999828338623,7,-1.0,-1.0,0.5329999923706055,0.6600000262260437
2.0,-1.0,0.7390000224113464,11,-1.0,-1.0,0.38199999928474426,0.6399999856948853
3.0,-1.0,0.9810000061988831,15,-1.0,-1.0,0.24500000476837158,0.5799999833106995
4.0,-1.0,0.9399999976158142,19,-1.0,-1.0,0.25200000405311584,0.5699999928474426
5.0,-1.0,0.8920000195503235,23,-1.0,-1.0,0.14399999380111694,0.6399999856948853
6.0,-1.0,1.031999945640564,27,-1.0,-1.0,0.2409999966621399,0.6499999761581421
7.0,-1.0,1.468000054359436,31,-1.0,-1.0,0.04899999871850014,0.6000000238418579
8.0,-1.0,1.6009999513626099,35,-1.0,-1.0,0.05900000035762787,0.6000000238418579
9.0,-1.0,1.6319999694824219,39,-1.0,-1.0,0.04399999976158142,0.5600000023841858
10.0,-1.0,1.722000002861023,43,-1.0,-1.0,0.014999999664723873,0.550000011920929
11.0,-1.0,1.8619999885559082,47,-1.0,-1.0,0.03500000014901161,0.5699999928474426
12.0,-1.0,2.0950000286102295,51,-1.0,-1.0,0.004000000189989805,0.6000000238418579
13.0,-1.0,2.371000051498413,55,-1.0,-1.0,0.004000000189989805,0.550000011920929
14.0,-1.0,2.171999931335449,59,-1.0,-1.0,0.02500000037252903,0.6000000238418579
15.0,-1.0,2.052000045776367,63,-1.0,-1.0,0.0010000000474974513,0.5899999737739563
16.0,-1.0,2.055000066757202,67,-1.0,-1.0,0.004999999888241291,0.5799999833106995
17.0,-1.0,2.00600004196167,71,-1.0,-1.0,0.01600000075995922,0.5799999833106995
18.0,-1.0,2.0910000801086426,75,-1.0,-1.0,0.006000000052154064,0.6399999856948853
19.0,-1.0,2.180000066757202,79,-1.0,-1.0,0.007000000216066837,0.6399999856948853
20.0,-1.0,2.2360000610351562,83,-1.0,-1.0,0.0020000000949949026,0.6399999856948853
21.0,-1.0,2.2820000648498535,87,-1.0,-1.0,0.0010000000474974513,0.6399999856948853
22.0,-1.0,2.3310000896453857,91,-1.0,-1.0,0.0010000000474974513,0.6399999856948853
23.0,-1.0,2.372999906539917,95,-1.0,-1.0,0.0020000000949949026,0.6399999856948853
24.0,-1.0,2.381999969482422,99,-1.0,-1.0,0.007000000216066837,0.6399999856948853
25.0,-1.0,2.3540000915527344,103,-1.0,-1.0,0.008999999612569809,0.6100000143051147
26.0,-1.0,2.443000078201294,107,-1.0,-1.0,0.0020000000949949026,0.6200000047683716
27.0,-1.0,2.4709999561309814,111,-1.0,-1.0,0.013000000268220901,0.6200000047683716
28.0,-1.0,2.447000026702881,115,-1.0,-1.0,0.0020000000949949026,0.6399999856948853
29.0,-1.0,2.4619998931884766,119,-1.0,-1.0,0.0010000000474974513,0.6299999952316284
30.0,-1.0,2.6080000400543213,123,-1.0,-1.0,0.004000000189989805,0.6299999952316284
31.0,-1.0,2.7119998931884766,127,-1.0,-1.0,0.0,0.6100000143051147
32.0,-1.0,2.4830000400543213,131,-1.0,-1.0,0.009999999776482582,0.6100000143051147
33.0,-1.0,2.51200008392334,135,-1.0,-1.0,0.0010000000474974513,0.6299999952316284
34.0,-1.0,2.555999994277954,139,-1.0,-1.0,0.009999999776482582,0.6000000238418579
35.0,-1.0,2.871999979019165,143,-1.0,-1.0,0.0,0.6100000143051147
36.0,-1.0,2.9000000953674316,147,-1.0,-1.0,0.007000000216066837,0.6100000143051147
37.0,-1.0,2.805999994277954,151,-1.0,-1.0,0.0010000000474974513,0.6200000047683716
38.0,-1.0,2.812000036239624,155,-1.0,-1.0,0.0010000000474974513,0.6299999952316284
39.0,-1.0,2.687999963760376,159,-1.0,-1.0,0.010999999940395355,0.6100000143051147
40.0,-1.0,2.6059999465942383,163,-1.0,-1.0,0.0,0.5899999737739563
41.0,-1.0,2.5899999141693115,167,-1.0,-1.0,0.003000000026077032,0.6000000238418579
42.0,-1.0,2.5940001010894775,171,-1.0,-1.0,0.0010000000474974513,0.6299999952316284
43.0,-1.0,2.6070001125335693,175,-1.0,-1.0,0.0010000000474974513,0.6299999952316284
44.0,-1.0,2.61899995803833,179,-1.0,-1.0,0.0010000000474974513,0.6299999952316284
