epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.8629999756813049,7,-1.0,-1.0,0.8450000286102295,0.4399999976158142
1.0,0.7369999885559082,15,-1.0,-1.0,0.5709999799728394,0.6000000238418579
2.0,0.8270000219345093,23,-1.0,-1.0,0.4410000145435333,0.5600000023841858
3.0,0.8059999942779541,31,-1.0,-1.0,0.35600000619888306,0.5600000023841858
4.0,0.9549999833106995,39,-1.0,-1.0,0.25600001215934753,0.5600000023841858
5.0,1.253999948501587,47,-1.0,-1.0,0.15600000321865082,0.5600000023841858
6.0,1.0180000066757202,55,-1.0,-1.0,0.09200000017881393,0.6800000071525574
7.0,1.0140000581741333,63,-1.0,-1.0,0.07699999958276749,0.6800000071525574
8.0,1.6039999723434448,71,-1.0,-1.0,0.14100000262260437,0.5600000023841858
9.0,1.215999960899353,79,-1.0,-1.0,0.07500000298023224,0.6800000071525574
10.0,1.2289999723434448,87,-1.0,-1.0,0.23399999737739563,0.6399999856948853
11.0,1.4470000267028809,95,-1.0,-1.0,0.2549999952316284,0.6000000238418579
12.0,1.4149999618530273,103,-1.0,-1.0,0.12300000339746475,0.6000000238418579
13.0,0.9599999785423279,111,-1.0,-1.0,0.04500000178813934,0.7200000286102295
14.0,1.1319999694824219,119,-1.0,-1.0,0.05999999865889549,0.6399999856948853
15.0,1.3739999532699585,127,-1.0,-1.0,0.014000000432133675,0.6399999856948853
16.0,1.4789999723434448,135,-1.0,-1.0,0.03700000047683716,0.6399999856948853
17.0,1.4079999923706055,143,-1.0,-1.0,0.026000000536441803,0.6399999856948853
18.0,1.4570000171661377,151,-1.0,-1.0,0.019999999552965164,0.6399999856948853
19.0,1.6009999513626099,159,-1.0,-1.0,0.00800000037997961,0.6399999856948853
20.0,1.5740000009536743,167,-1.0,-1.0,0.0560000017285347,0.6399999856948853
21.0,1.5130000114440918,175,-1.0,-1.0,0.026000000536441803,0.6800000071525574
22.0,1.569000005722046,183,-1.0,-1.0,0.04500000178813934,0.6800000071525574
23.0,1.6160000562667847,191,-1.0,-1.0,0.009999999776482582,0.6399999856948853
24.0,1.9739999771118164,199,-1.0,-1.0,0.028999999165534973,0.6000000238418579
25.0,1.774999976158142,207,-1.0,-1.0,0.019999999552965164,0.6000000238418579
26.0,1.1330000162124634,215,-1.0,-1.0,0.4779999852180481,0.7200000286102295
27.0,1.0950000286102295,223,-1.0,-1.0,0.014999999664723873,0.6800000071525574
28.0,1.2829999923706055,231,-1.0,-1.0,0.020999999716877937,0.6800000071525574
29.0,1.5160000324249268,239,-1.0,-1.0,0.007000000216066837,0.6399999856948853
30.0,1.7039999961853027,247,-1.0,1.0,0.006000000052154064,0.6399999856948853
