epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,1.0490000247955322,7,-1.0,-1.0,2.5799999237060547,0.5600000023841858
1.0,0.7540000081062317,15,-1.0,-1.0,0.8650000095367432,0.6000000238418579
2.0,0.7590000033378601,23,-1.0,-1.0,0.48500001430511475,0.47999998927116394
3.0,0.75,31,-1.0,-1.0,0.4830000102519989,0.5199999809265137
4.0,0.7590000033378601,39,-1.0,-1.0,0.3230000138282776,0.6800000071525574
5.0,0.8190000057220459,47,-1.0,-1.0,0.24199999868869781,0.6399999856948853
6.0,0.8429999947547913,55,-1.0,-1.0,0.21400000154972076,0.6000000238418579
7.0,0.949999988079071,63,-1.0,-1.0,0.125,0.6800000071525574
8.0,0.9890000224113464,71,-1.0,-1.0,0.08399999886751175,0.6800000071525574
9.0,1.1490000486373901,79,-1.0,-1.0,0.06300000101327896,0.6000000238418579
10.0,1.2510000467300415,87,-1.0,-1.0,0.052000001072883606,0.6000000238418579
11.0,1.3179999589920044,95,-1.0,-1.0,0.026000000536441803,0.6000000238418579
12.0,1.3600000143051147,103,-1.0,-1.0,0.02500000037252903,0.6399999856948853
13.0,1.4199999570846558,111,-1.0,-1.0,0.01600000075995922,0.6399999856948853
14.0,1.5640000104904175,119,-1.0,-1.0,0.02199999988079071,0.6399999856948853
15.0,1.625,127,-1.0,-1.0,0.032999999821186066,0.6800000071525574
16.0,1.534999966621399,135,-1.0,-1.0,0.04800000041723251,0.6800000071525574
17.0,1.4550000429153442,143,-1.0,-1.0,0.008999999612569809,0.6800000071525574
18.0,1.5119999647140503,151,-1.0,-1.0,0.029999999329447746,0.6800000071525574
19.0,1.6970000267028809,159,-1.0,-1.0,0.010999999940395355,0.6399999856948853
20.0,1.6959999799728394,167,-1.0,-1.0,0.02800000086426735,0.6399999856948853
21.0,1.5579999685287476,175,-1.0,-1.0,0.012000000104308128,0.7200000286102295
22.0,1.5829999446868896,183,-1.0,-1.0,0.01899999938905239,0.6800000071525574
23.0,1.8639999628067017,191,-1.0,-1.0,0.014000000432133675,0.6399999856948853
24.0,2.0929999351501465,199,-1.0,-1.0,0.004999999888241291,0.6399999856948853
25.0,2.0969998836517334,207,-1.0,-1.0,0.006000000052154064,0.6399999856948853
26.0,1.7139999866485596,215,-1.0,-1.0,0.019999999552965164,0.7200000286102295
27.0,1.524999976158142,223,-1.0,-1.0,0.004999999888241291,0.7200000286102295
28.0,1.5399999618530273,231,-1.0,-1.0,0.00800000037997961,0.7200000286102295
29.0,1.8639999628067017,239,-1.0,-1.0,0.04600000008940697,0.7200000286102295
30.0,1.9800000190734863,247,-1.0,1.0,0.009999999776482582,0.6000000238418579
