epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.5049999952316284,944,-1.0,-1.0,0.621999979019165,0.671999990940094
1.0,0.5049999952316284,1889,-1.0,-1.0,0.5849999785423279,0.7279999852180481
2.0,0.6029999852180481,2834,-1.0,-1.0,0.574999988079071,0.5529999732971191
3.0,0.6169999837875366,3779,-1.0,-1.0,0.5730000138282776,0.5529999732971191
4.0,0.746999979019165,4724,-1.0,-1.0,0.5699999928474426,0.33799999952316284
5.0,0.578000009059906,5669,-1.0,-1.0,0.5709999799728394,0.5699999928474426
6.0,0.5249999761581421,6614,-1.0,-1.0,0.5699999928474426,0.8209999799728394
7.0,0.6190000176429749,7559,-1.0,-1.0,0.5649999976158142,0.5170000195503235
8.0,0.718999981880188,8504,-1.0,-1.0,0.5659999847412109,0.5400000214576721
9.0,0.656000018119812,9449,-1.0,-1.0,0.5540000200271606,0.49000000953674316
10.0,0.6129999756813049,10394,-1.0,-1.0,0.5580000281333923,0.44999998807907104
11.0,0.6069999933242798,11339,-1.0,-1.0,0.5540000200271606,0.46700000762939453
12.0,0.6470000147819519,12284,-1.0,-1.0,0.5490000247955322,0.4830000102519989
13.0,0.6140000224113464,13229,-1.0,-1.0,0.550000011920929,0.46399998664855957
14.0,0.7170000076293945,14174,-1.0,-1.0,0.5440000295639038,0.44999998807907104
15.0,0.5630000233650208,15119,-1.0,-1.0,0.550000011920929,0.4830000102519989
16.0,0.7139999866485596,16064,-1.0,-1.0,0.5479999780654907,0.4300000071525574
17.0,0.6129999756813049,17009,-1.0,-1.0,0.5389999747276306,0.550000011920929
18.0,0.5149999856948853,17954,-1.0,-1.0,0.5440000295639038,0.9169999957084656
19.0,0.6430000066757202,18899,-1.0,-1.0,0.5460000038146973,0.5130000114440918
20.0,0.7770000100135803,19844,-1.0,-1.0,0.5360000133514404,0.5170000195503235
21.0,0.7179999947547913,20789,-1.0,-1.0,0.5389999747276306,0.37700000405311584
22.0,0.6000000238418579,21734,-1.0,-1.0,0.531000018119812,0.7620000243186951
23.0,0.5400000214576721,22679,-1.0,-1.0,0.5339999794960022,0.7450000047683716
24.0,0.4650000035762787,23624,-1.0,-1.0,0.5320000052452087,0.7049999833106995
25.0,0.6359999775886536,24569,-1.0,-1.0,0.531000018119812,0.5299999713897705
26.0,0.46700000762939453,25514,-1.0,-1.0,0.5260000228881836,0.6850000023841858
27.0,0.621999979019165,26459,-1.0,-1.0,0.5149999856948853,0.5830000042915344
28.0,0.6930000185966492,27404,-1.0,-1.0,0.5040000081062317,0.47999998927116394
29.0,0.5809999704360962,28349,-1.0,-1.0,0.5130000114440918,0.5
30.0,0.4950000047683716,29294,-1.0,-1.0,0.5149999856948853,0.5789999961853027
31.0,0.7369999885559082,30239,-1.0,-1.0,0.5120000243186951,0.5529999732971191
32.0,0.7149999737739563,31184,-1.0,-1.0,0.5109999775886536,0.609000027179718
33.0,0.5720000267028809,32129,-1.0,-1.0,0.5049999952316284,0.6489999890327454
34.0,0.5040000081062317,33074,-1.0,-1.0,0.5049999952316284,0.6790000200271606
35.0,0.4519999921321869,34019,-1.0,-1.0,0.49799999594688416,0.6919999718666077
36.0,0.5540000200271606,34964,-1.0,-1.0,0.49300000071525574,0.7720000147819519
37.0,0.6240000128746033,35909,-1.0,-1.0,0.4959999918937683,0.6129999756813049
38.0,0.6650000214576721,36854,-1.0,-1.0,0.49900001287460327,0.6259999871253967
39.0,0.5609999895095825,37799,-1.0,-1.0,0.4860000014305115,0.8009999990463257
40.0,0.597000002861023,38744,-1.0,-1.0,0.4830000102519989,0.6389999985694885
