epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,0.6890000104904175,57,-1.0,-1.0,0.46700000762939453,0.6100000143051147
1.0,-1.0,1.2929999828338623,115,-1.0,-1.0,0.4099999964237213,0.5600000023841858
2.0,-1.0,0.6679999828338623,173,-1.0,-1.0,0.3930000066757202,0.5400000214576721
3.0,-1.0,0.6790000200271606,231,-1.0,-1.0,0.37299999594688416,0.5699999928474426
4.0,-1.0,0.6600000262260437,289,-1.0,-1.0,0.3659999966621399,0.5400000214576721
5.0,-1.0,0.7409999966621399,347,-1.0,-1.0,0.3630000054836273,0.5550000071525574
6.0,-1.0,0.7599999904632568,405,-1.0,-1.0,0.3479999899864197,0.5899999737739563
7.0,-1.0,0.6700000166893005,463,-1.0,-1.0,0.335999995470047,0.5600000023841858
8.0,-1.0,0.7369999885559082,521,-1.0,-1.0,0.33399999141693115,0.550000011920929
9.0,-1.0,0.7239999771118164,579,-1.0,-1.0,0.31700000166893005,0.5249999761581421
10.0,-1.0,0.6980000138282776,637,-1.0,-1.0,0.32100000977516174,0.5550000071525574
11.0,-1.0,0.734000027179718,695,-1.0,-1.0,0.3009999990463257,0.5699999928474426
12.0,-1.0,0.7639999985694885,753,-1.0,-1.0,0.2980000078678131,0.550000011920929
13.0,-1.0,0.765999972820282,811,-1.0,-1.0,0.28700000047683716,0.5799999833106995
14.0,-1.0,0.7829999923706055,869,-1.0,-1.0,0.27900001406669617,0.5249999761581421
15.0,-1.0,0.8690000176429749,927,-1.0,-1.0,0.2750000059604645,0.5899999737739563
16.0,-1.0,0.9259999990463257,985,-1.0,-1.0,0.25999999046325684,0.5649999976158142
17.0,-1.0,0.7960000038146973,1043,-1.0,-1.0,0.2549999952316284,0.574999988079071
18.0,-1.0,0.9399999976158142,1101,-1.0,-1.0,0.2460000067949295,0.550000011920929
19.0,-1.0,0.8560000061988831,1159,-1.0,-1.0,0.23100000619888306,0.5149999856948853
20.0,-1.0,0.9729999899864197,1217,-1.0,-1.0,0.24400000274181366,0.5950000286102295
21.0,-1.0,0.8740000128746033,1275,-1.0,-1.0,0.24300000071525574,0.5799999833106995
22.0,-1.0,0.9940000176429749,1333,-1.0,-1.0,0.21699999272823334,0.5849999785423279
23.0,-1.0,1.0210000276565552,1391,-1.0,-1.0,0.22499999403953552,0.6050000190734863
24.0,-1.0,0.9900000095367432,1449,-1.0,-1.0,0.2199999988079071,0.5550000071525574
25.0,-1.0,0.9919999837875366,1507,-1.0,-1.0,0.21199999749660492,0.5950000286102295
26.0,-1.0,1.0399999618530273,1565,-1.0,-1.0,0.20499999821186066,0.6100000143051147
27.0,-1.0,1.2990000247955322,1623,-1.0,-1.0,0.1809999942779541,0.5799999833106995
28.0,-1.0,1.062000036239624,1681,-1.0,-1.0,0.19200000166893005,0.5699999928474426
29.0,-1.0,0.6930000185966492,1739,-1.0,-1.0,0.20600000023841858,0.6100000143051147
30.0,-1.0,1.5130000114440918,1797,-1.0,-1.0,0.17399999499320984,0.574999988079071
31.0,-1.0,1.0099999904632568,1855,-1.0,-1.0,0.21199999749660492,0.6100000143051147
32.0,-1.0,1.4980000257492065,1913,-1.0,-1.0,0.17100000381469727,0.625
33.0,-1.0,1.6430000066757202,1971,-1.0,-1.0,0.15700000524520874,0.6100000143051147
34.0,-1.0,1.3289999961853027,2029,-1.0,-1.0,0.1679999977350235,0.5849999785423279
35.0,-1.0,1.2569999694824219,2087,-1.0,-1.0,0.16699999570846558,0.5550000071525574
36.0,-1.0,1.1640000343322754,2145,-1.0,-1.0,0.1599999964237213,0.5950000286102295
37.0,-1.0,1.4509999752044678,2203,-1.0,-1.0,0.14800000190734863,0.6150000095367432
38.0,-1.0,1.152999997138977,2261,-1.0,-1.0,0.1469999998807907,0.5899999737739563
39.0,-1.0,1.3109999895095825,2319,-1.0,-1.0,0.12999999523162842,0.6050000190734863
40.0,-1.0,1.430999994277954,2377,-1.0,-1.0,0.14399999380111694,0.6050000190734863
41.0,-1.0,1.4759999513626099,2435,-1.0,-1.0,0.10700000077486038,0.6100000143051147
42.0,-1.0,1.4609999656677246,2493,-1.0,-1.0,0.12800000607967377,0.6349999904632568
43.0,-1.0,1.5010000467300415,2551,-1.0,-1.0,0.11299999803304672,0.6399999856948853
44.0,-1.0,1.218000054359436,2609,-1.0,-1.0,0.12399999797344208,0.625
45.0,-1.0,1.4249999523162842,2667,-1.0,-1.0,0.09799999743700027,0.6050000190734863
46.0,-1.0,1.409000039100647,2725,-1.0,-1.0,0.11100000143051147,0.6000000238418579
47.0,-1.0,1.4149999618530273,2783,-1.0,-1.0,0.10899999737739563,0.6150000095367432
48.0,-1.0,1.7109999656677246,2841,-1.0,-1.0,0.0860000029206276,0.6449999809265137
49.0,-1.0,1.4670000076293945,2899,-1.0,-1.0,0.10599999874830246,0.6100000143051147
50.0,-1.0,1.5729999542236328,2957,-1.0,-1.0,0.09700000286102295,0.5950000286102295
51.0,-1.0,1.6670000553131104,3015,-1.0,-1.0,0.0860000029206276,0.6299999952316284
52.0,-1.0,2.0450000762939453,3073,-1.0,-1.0,0.07599999755620956,0.6349999904632568
53.0,-1.0,2.005000114440918,3131,-1.0,-1.0,0.08399999886751175,0.6449999809265137
54.0,-1.0,2.0309998989105225,3189,-1.0,-1.0,0.0820000022649765,0.6150000095367432
55.0,-1.0,2.444999933242798,3247,-1.0,-1.0,0.07599999755620956,0.5799999833106995
56.0,-1.0,1.9989999532699585,3305,-1.0,-1.0,0.09200000017881393,0.6200000047683716
57.0,-1.0,1.6169999837875366,3363,-1.0,-1.0,0.09099999815225601,0.6499999761581421
58.0,-1.0,2.11299991607666,3421,-1.0,-1.0,0.061000000685453415,0.6349999904632568
59.0,-1.0,2.313999891281128,3479,-1.0,-1.0,0.04600000008940697,0.574999988079071
60.0,-1.0,2.746999979019165,3537,-1.0,-1.0,0.0430000014603138,0.5950000286102295
61.0,-1.0,1.9950000047683716,3595,-1.0,-1.0,0.05900000035762787,0.5649999976158142
62.0,-1.0,1.7940000295639038,3653,-1.0,-1.0,0.08699999749660492,0.6349999904632568
63.0,-1.0,2.247999906539917,3711,-1.0,-1.0,0.05999999865889549,0.5600000023841858
64.0,-1.0,2.1510000228881836,3769,-1.0,-1.0,0.04800000041723251,0.5600000023841858
65.0,-1.0,2.4860000610351562,3827,-1.0,-1.0,0.05299999937415123,0.6299999952316284
66.0,-1.0,1.8559999465942383,3885,-1.0,-1.0,0.08399999886751175,0.6000000238418579
67.0,-1.0,2.3340001106262207,3943,-1.0,-1.0,0.0430000014603138,0.6050000190734863
68.0,-1.0,1.8580000400543213,4001,-1.0,-1.0,0.052000001072883606,0.6100000143051147
69.0,-1.0,2.627000093460083,4059,-1.0,-1.0,0.039000000804662704,0.6150000095367432
70.0,-1.0,2.3459999561309814,4117,-1.0,-1.0,0.05999999865889549,0.6299999952316284
71.0,-1.0,2.200000047683716,4175,-1.0,-1.0,0.05400000140070915,0.6000000238418579
72.0,-1.0,2.4570000171661377,4233,-1.0,-1.0,0.0430000014603138,0.5849999785423279
73.0,-1.0,2.444999933242798,4291,-1.0,-1.0,0.04100000113248825,0.625
74.0,-1.0,2.1730000972747803,4349,-1.0,-1.0,0.05700000002980232,0.6200000047683716
75.0,-1.0,2.7309999465942383,4407,-1.0,-1.0,0.052000001072883606,0.6399999856948853
76.0,-1.0,2.7720000743865967,4465,-1.0,-1.0,0.050999999046325684,0.5950000286102295
77.0,-1.0,3.180000066757202,4523,-1.0,-1.0,0.02800000086426735,0.5950000286102295
78.0,-1.0,3.2720000743865967,4581,-1.0,-1.0,0.03700000047683716,0.6000000238418579
79.0,-1.0,2.5460000038146973,4639,-1.0,-1.0,0.06499999761581421,0.6000000238418579
80.0,-1.0,2.2139999866485596,4697,-1.0,-1.0,0.05000000074505806,0.6200000047683716
81.0,-1.0,3.2920000553131104,4755,-1.0,-1.0,0.027000000700354576,0.5899999737739563
82.0,-1.0,2.4769999980926514,4813,-1.0,-1.0,0.04800000041723251,0.6050000190734863
83.0,-1.0,2.9809999465942383,4871,-1.0,-1.0,0.04800000041723251,0.6050000190734863
84.0,-1.0,2.941999912261963,4929,-1.0,-1.0,0.03799999877810478,0.6100000143051147
85.0,-1.0,2.265000104904175,4987,-1.0,-1.0,0.05700000002980232,0.5649999976158142
86.0,-1.0,2.566999912261963,5045,-1.0,-1.0,0.05000000074505806,0.5550000071525574
87.0,-1.0,2.0260000228881836,5103,-1.0,-1.0,0.05000000074505806,0.574999988079071
88.0,-1.0,2.109999895095825,5161,-1.0,-1.0,0.04600000008940697,0.6150000095367432
89.0,-1.0,2.759999990463257,5219,-1.0,-1.0,0.03200000151991844,0.6100000143051147
90.0,-1.0,2.441999912261963,5277,-1.0,-1.0,0.03700000047683716,0.6050000190734863
91.0,-1.0,2.553999900817871,5335,-1.0,-1.0,0.03200000151991844,0.5699999928474426
92.0,-1.0,2.740000009536743,5393,-1.0,-1.0,0.028999999165534973,0.5600000023841858
93.0,-1.0,2.681999921798706,5451,-1.0,-1.0,0.04500000178813934,0.5849999785423279
94.0,-1.0,2.572000026702881,5509,-1.0,-1.0,0.039000000804662704,0.6000000238418579
95.0,-1.0,3.0339999198913574,5567,-1.0,-1.0,0.024000000208616257,0.6200000047683716
96.0,-1.0,2.496000051498413,5625,-1.0,-1.0,0.027000000700354576,0.6100000143051147
97.0,-1.0,1.8480000495910645,5683,-1.0,-1.0,0.0560000017285347,0.6499999761581421
98.0,-1.0,2.5360000133514404,5741,-1.0,-1.0,0.02500000037252903,0.6299999952316284
99.0,-1.0,2.500999927520752,5799,-1.0,-1.0,0.03500000014901161,0.6200000047683716
100.0,-1.0,2.684999942779541,5857,-1.0,0.9850000143051147,0.04399999976158142,0.6150000095367432
