epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.6769999861717224,9,-1.0,-1.0,0.6959999799728394,0.6499999761581421
1.0,0.6209999918937683,19,-1.0,-1.0,0.5960000157356262,0.7250000238418579
2.0,0.8090000152587891,29,-1.0,-1.0,0.4410000145435333,0.6499999761581421
3.0,0.9480000138282776,39,-1.0,-1.0,0.2280000001192093,0.6499999761581421
4.0,1.3309999704360962,49,-1.0,-1.0,0.23600000143051147,0.5870000123977661
5.0,1.215000033378601,59,-1.0,-1.0,0.09300000220537186,0.6499999761581421
6.0,1.2970000505447388,69,-1.0,-1.0,0.07800000160932541,0.6129999756813049
7.0,1.6119999885559082,79,-1.0,-1.0,0.03999999910593033,0.5870000123977661
8.0,1.7109999656677246,89,-1.0,-1.0,0.039000000804662704,0.5870000123977661
9.0,2.2279999256134033,99,-1.0,-1.0,0.06300000101327896,0.5619999766349792
10.0,1.8969999551773071,109,-1.0,-1.0,0.04899999871850014,0.625
11.0,1.8359999656677246,119,-1.0,-1.0,0.020999999716877937,0.625
12.0,1.9989999532699585,129,-1.0,-1.0,0.010999999940395355,0.6129999756813049
13.0,1.809000015258789,139,-1.0,-1.0,0.023000000044703484,0.5619999766349792
14.0,2.303999900817871,149,-1.0,-1.0,0.014999999664723873,0.5870000123977661
15.0,2.6410000324249268,159,-1.0,-1.0,0.00800000037997961,0.574999988079071
16.0,2.000999927520752,169,-1.0,-1.0,0.041999999433755875,0.625
17.0,1.934999942779541,179,-1.0,-1.0,0.004999999888241291,0.6499999761581421
18.0,1.9809999465942383,189,-1.0,-1.0,0.003000000026077032,0.6370000243186951
19.0,2.5910000801086426,199,-1.0,-1.0,0.07400000095367432,0.550000011920929
20.0,2.984999895095825,209,-1.0,-1.0,0.0020000000949949026,0.5379999876022339
21.0,2.6689999103546143,219,-1.0,-1.0,0.007000000216066837,0.550000011920929
22.0,2.24399995803833,229,-1.0,-1.0,0.008999999612569809,0.6129999756813049
23.0,2.234999895095825,239,-1.0,-1.0,0.007000000216066837,0.5870000123977661
24.0,2.433000087738037,249,-1.0,-1.0,0.004999999888241291,0.574999988079071
25.0,2.621000051498413,259,-1.0,-1.0,0.017999999225139618,0.550000011920929
26.0,3.3489999771118164,269,-1.0,-1.0,0.003000000026077032,0.5619999766349792
27.0,3.5409998893737793,279,-1.0,-1.0,0.004999999888241291,0.5619999766349792
28.0,3.0190000534057617,289,-1.0,-1.0,0.01600000075995922,0.574999988079071
29.0,3.2230000495910645,299,-1.0,-1.0,0.04100000113248825,0.6000000238418579
30.0,3.4660000801086426,309,-1.0,0.9800000190734863,0.12399999797344208,0.5619999766349792
