epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,1.3519999980926514,3,-1.0,-1.0,0.7170000076293945,0.5
1.0,-1.0,1.0549999475479126,7,-1.0,-1.0,0.7919999957084656,0.5
2.0,-1.0,0.8429999947547913,11,-1.0,-1.0,0.6890000104904175,0.5299999713897705
3.0,-1.0,0.9089999794960022,15,-1.0,-1.0,0.7710000276565552,0.47999998927116394
4.0,-1.0,0.9800000190734863,19,-1.0,-1.0,0.515999972820282,0.4099999964237213
5.0,-1.0,0.9760000109672546,23,-1.0,-1.0,0.5630000233650208,0.4300000071525574
6.0,-1.0,1.2029999494552612,27,-1.0,-1.0,0.5559999942779541,0.5199999809265137
7.0,-1.0,1.149999976158142,31,-1.0,-1.0,0.6970000267028809,0.5299999713897705
8.0,-1.0,1.1360000371932983,35,-1.0,-1.0,0.4009999930858612,0.5099999904632568
9.0,-1.0,0.9850000143051147,39,-1.0,-1.0,0.4410000145435333,0.46000000834465027
10.0,-1.0,1.2000000476837158,43,-1.0,-1.0,0.4180000126361847,0.4699999988079071
11.0,-1.0,1.190999984741211,47,-1.0,-1.0,0.37700000405311584,0.5099999904632568
12.0,-1.0,1.3519999980926514,51,-1.0,-1.0,0.35100001096725464,0.5
13.0,-1.0,1.6480000019073486,55,-1.0,-1.0,0.31700000166893005,0.4300000071525574
14.0,-1.0,1.8960000276565552,59,-1.0,-1.0,0.26899999380111694,0.4399999976158142
15.0,-1.0,2.252000093460083,63,-1.0,-1.0,0.2680000066757202,0.4399999976158142
16.0,-1.0,2.552000045776367,67,-1.0,-1.0,0.35100001096725464,0.4099999964237213
17.0,-1.0,2.1989998817443848,71,-1.0,-1.0,0.5950000286102295,0.41999998688697815
18.0,-1.0,1.7669999599456787,75,-1.0,-1.0,0.32199999690055847,0.5699999928474426
19.0,-1.0,2.0810000896453857,79,-1.0,-1.0,0.34599998593330383,0.550000011920929
20.0,-1.0,1.7020000219345093,83,-1.0,-1.0,0.34299999475479126,0.550000011920929
21.0,-1.0,1.4880000352859497,87,-1.0,-1.0,0.6060000061988831,0.4699999988079071
22.0,-1.0,1.3890000581741333,91,-1.0,-1.0,0.5920000076293945,0.5299999713897705
23.0,-1.0,1.3990000486373901,95,-1.0,-1.0,0.43799999356269836,0.5299999713897705
24.0,-1.0,1.4869999885559082,99,-1.0,-1.0,0.4410000145435333,0.5199999809265137
25.0,-1.0,1.4809999465942383,103,-1.0,-1.0,0.3089999854564667,0.4699999988079071
26.0,-1.0,1.6679999828338623,107,-1.0,-1.0,0.2630000114440918,0.44999998807907104
27.0,-1.0,1.996999979019165,111,-1.0,-1.0,0.35600000619888306,0.5099999904632568
28.0,-1.0,2.4059998989105225,115,-1.0,-1.0,0.20600000023841858,0.5899999737739563
29.0,-1.0,1.687999963760376,119,-1.0,-1.0,0.3919999897480011,0.5099999904632568
30.0,-1.0,1.753000020980835,123,-1.0,0.8700000047683716,0.2800000011920929,0.5099999904632568
