epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,0.7039999961853027,56,-1.0,-1.0,0.4959999918937683,0.5450000166893005
1.0,-1.0,0.6980000138282776,113,-1.0,-1.0,0.4339999854564667,0.6000000238418579
2.0,-1.0,0.6729999780654907,170,-1.0,-1.0,0.4020000100135803,0.5849999785423279
3.0,-1.0,0.7509999871253967,227,-1.0,-1.0,0.382999986410141,0.5400000214576721
4.0,-1.0,0.7110000252723694,284,-1.0,-1.0,0.3889999985694885,0.5199999809265137
5.0,-1.0,0.7099999785423279,341,-1.0,-1.0,0.375,0.550000011920929
6.0,-1.0,0.6729999780654907,398,-1.0,-1.0,0.36899998784065247,0.5950000286102295
7.0,-1.0,0.7670000195503235,455,-1.0,-1.0,0.35100001096725464,0.5550000071525574
8.0,-1.0,0.7080000042915344,512,-1.0,-1.0,0.34299999475479126,0.5950000286102295
9.0,-1.0,0.8169999718666077,569,-1.0,-1.0,0.3370000123977661,0.5699999928474426
10.0,-1.0,0.7760000228881836,626,-1.0,-1.0,0.3310000002384186,0.5299999713897705
11.0,-1.0,0.8410000205039978,683,-1.0,-1.0,0.3310000002384186,0.5899999737739563
12.0,-1.0,0.7580000162124634,740,-1.0,-1.0,0.3449999988079071,0.5600000023841858
13.0,-1.0,0.7400000095367432,797,-1.0,-1.0,0.30799999833106995,0.5849999785423279
14.0,-1.0,0.7839999794960022,854,-1.0,-1.0,0.30000001192092896,0.5600000023841858
15.0,-1.0,0.699999988079071,911,-1.0,-1.0,0.3050000071525574,0.5400000214576721
16.0,-1.0,0.9869999885559082,968,-1.0,-1.0,0.2849999964237213,0.550000011920929
17.0,-1.0,0.8100000023841858,1025,-1.0,-1.0,0.2759999930858612,0.5649999976158142
18.0,-1.0,1.003000020980835,1082,-1.0,-1.0,0.2549999952316284,0.6050000190734863
19.0,-1.0,0.9179999828338623,1139,-1.0,-1.0,0.2630000114440918,0.5849999785423279
20.0,-1.0,1.1629999876022339,1196,-1.0,-1.0,0.2590000033378601,0.6150000095367432
21.0,-1.0,1.2339999675750732,1253,-1.0,-1.0,0.23399999737739563,0.5849999785423279
22.0,-1.0,0.9430000185966492,1310,-1.0,-1.0,0.24799999594688416,0.5849999785423279
23.0,-1.0,1.0299999713897705,1367,-1.0,-1.0,0.2460000067949295,0.5950000286102295
24.0,-1.0,1.5299999713897705,1424,-1.0,-1.0,0.23800000548362732,0.5799999833106995
25.0,-1.0,1.190999984741211,1481,-1.0,-1.0,0.20600000023841858,0.5950000286102295
26.0,-1.0,0.9169999957084656,1538,-1.0,-1.0,0.20499999821186066,0.6150000095367432
27.0,-1.0,1.1770000457763672,1595,-1.0,-1.0,0.20900000631809235,0.6100000143051147
28.0,-1.0,1.7960000038146973,1652,-1.0,-1.0,0.20499999821186066,0.5649999976158142
29.0,-1.0,1.3420000076293945,1709,-1.0,-1.0,0.18700000643730164,0.6100000143051147
30.0,-1.0,1.8519999980926514,1766,-1.0,-1.0,0.1860000044107437,0.6299999952316284
31.0,-1.0,1.184000015258789,1823,-1.0,-1.0,0.16699999570846558,0.5950000286102295
32.0,-1.0,1.4229999780654907,1880,-1.0,-1.0,0.17499999701976776,0.6150000095367432
33.0,-1.0,1.2309999465942383,1937,-1.0,-1.0,0.15700000524520874,0.5550000071525574
34.0,-1.0,1.2419999837875366,1994,-1.0,-1.0,0.16300000250339508,0.5849999785423279
35.0,-1.0,1.6790000200271606,2051,-1.0,-1.0,0.1420000046491623,0.5950000286102295
36.0,-1.0,1.8270000219345093,2108,-1.0,-1.0,0.1469999998807907,0.574999988079071
37.0,-1.0,2.128000020980835,2165,-1.0,-1.0,0.16599999368190765,0.6100000143051147
38.0,-1.0,1.5579999685287476,2222,-1.0,-1.0,0.13199999928474426,0.6499999761581421
39.0,-1.0,1.3969999551773071,2279,-1.0,-1.0,0.14800000190734863,0.5950000286102295
40.0,-1.0,1.3940000534057617,2336,-1.0,-1.0,0.12099999934434891,0.5600000023841858
41.0,-1.0,1.8969999551773071,2393,-1.0,-1.0,0.15199999511241913,0.6150000095367432
42.0,-1.0,2.1559998989105225,2450,-1.0,-1.0,0.09799999743700027,0.6349999904632568
43.0,-1.0,1.2170000076293945,2507,-1.0,-1.0,0.13099999725818634,0.5849999785423279
44.0,-1.0,1.7640000581741333,2564,-1.0,-1.0,0.1120000034570694,0.574999988079071
45.0,-1.0,1.6200000047683716,2621,-1.0,-1.0,0.1379999965429306,0.5899999737739563
46.0,-1.0,2.0280001163482666,2678,-1.0,-1.0,0.09600000083446503,0.5550000071525574
47.0,-1.0,1.3860000371932983,2735,-1.0,-1.0,0.12200000137090683,0.5799999833106995
48.0,-1.0,2.515000104904175,2792,-1.0,-1.0,0.09099999815225601,0.6000000238418579
49.0,-1.0,2.0799999237060547,2849,-1.0,-1.0,0.08100000023841858,0.550000011920929
