epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,0.6549999713897705,57,-1.0,-1.0,0.5429999828338623,0.5299999713897705
1.0,-1.0,0.7020000219345093,115,-1.0,-1.0,0.46000000834465027,0.5249999761581421
2.0,-1.0,0.718999981880188,173,-1.0,-1.0,0.44600000977516174,0.5149999856948853
3.0,-1.0,0.6850000023841858,231,-1.0,-1.0,0.45100000500679016,0.5299999713897705
4.0,-1.0,0.7179999947547913,289,-1.0,-1.0,0.4350000023841858,0.6000000238418579
5.0,-1.0,0.6850000023841858,347,-1.0,-1.0,0.41999998688697815,0.5799999833106995
6.0,-1.0,0.8259999752044678,405,-1.0,-1.0,0.41200000047683716,0.550000011920929
7.0,-1.0,0.6949999928474426,463,-1.0,-1.0,0.39899998903274536,0.5600000023841858
8.0,-1.0,0.7049999833106995,521,-1.0,-1.0,0.3880000114440918,0.5950000286102295
9.0,-1.0,0.7710000276565552,579,-1.0,-1.0,0.38600000739097595,0.5799999833106995
10.0,-1.0,0.7310000061988831,637,-1.0,-1.0,0.37299999594688416,0.550000011920929
11.0,-1.0,0.847000002861023,695,-1.0,-1.0,0.3449999988079071,0.5600000023841858
12.0,-1.0,0.6869999766349792,753,-1.0,-1.0,0.3440000116825104,0.5450000166893005
13.0,-1.0,0.7210000157356262,811,-1.0,-1.0,0.3479999899864197,0.5849999785423279
14.0,-1.0,0.800000011920929,869,-1.0,-1.0,0.335999995470047,0.5550000071525574
15.0,-1.0,0.8289999961853027,927,-1.0,-1.0,0.3140000104904175,0.5649999976158142
16.0,-1.0,0.9480000138282776,985,-1.0,-1.0,0.31700000166893005,0.5550000071525574
17.0,-1.0,0.7350000143051147,1043,-1.0,-1.0,0.3149999976158142,0.625
18.0,-1.0,1.0770000219345093,1101,-1.0,-1.0,0.2930000126361847,0.5899999737739563
19.0,-1.0,0.9259999990463257,1159,-1.0,-1.0,0.29499998688697815,0.574999988079071
20.0,-1.0,0.9639999866485596,1217,-1.0,-1.0,0.27399998903274536,0.6200000047683716
21.0,-1.0,1.0449999570846558,1275,-1.0,-1.0,0.26899999380111694,0.5600000023841858
22.0,-1.0,1.100000023841858,1333,-1.0,-1.0,0.25999999046325684,0.6349999904632568
23.0,-1.0,1.2000000476837158,1391,-1.0,-1.0,0.27300000190734863,0.5699999928474426
24.0,-1.0,1.3070000410079956,1449,-1.0,-1.0,0.23899999260902405,0.6050000190734863
25.0,-1.0,1.222000002861023,1507,-1.0,-1.0,0.23499999940395355,0.5699999928474426
26.0,-1.0,1.3459999561309814,1565,-1.0,-1.0,0.21899999678134918,0.5849999785423279
27.0,-1.0,1.1540000438690186,1623,-1.0,-1.0,0.2329999953508377,0.5849999785423279
28.0,-1.0,1.774999976158142,1681,-1.0,-1.0,0.20800000429153442,0.5350000262260437
29.0,-1.0,1.5499999523162842,1739,-1.0,-1.0,0.20999999344348907,0.5699999928474426
30.0,-1.0,1.38100004196167,1797,-1.0,-1.0,0.2150000035762787,0.5849999785423279
31.0,-1.0,1.4220000505447388,1855,-1.0,-1.0,0.1889999955892563,0.5550000071525574
32.0,-1.0,1.3739999532699585,1913,-1.0,-1.0,0.17399999499320984,0.6200000047683716
33.0,-1.0,1.3630000352859497,1971,-1.0,-1.0,0.1809999942779541,0.6100000143051147
34.0,-1.0,1.9320000410079956,2029,-1.0,-1.0,0.1599999964237213,0.574999988079071
35.0,-1.0,1.5829999446868896,2087,-1.0,-1.0,0.18700000643730164,0.5849999785423279
36.0,-1.0,1.5609999895095825,2145,-1.0,-1.0,0.14399999380111694,0.6100000143051147
37.0,-1.0,1.9889999628067017,2203,-1.0,-1.0,0.15399999916553497,0.5550000071525574
38.0,-1.0,1.4900000095367432,2261,-1.0,-1.0,0.14800000190734863,0.5600000023841858
39.0,-1.0,1.9800000190734863,2319,-1.0,-1.0,0.1289999932050705,0.5899999737739563
40.0,-1.0,1.7400000095367432,2377,-1.0,-1.0,0.13199999928474426,0.5950000286102295
41.0,-1.0,1.7730000019073486,2435,-1.0,-1.0,0.1509999930858612,0.6150000095367432
42.0,-1.0,1.7009999752044678,2493,-1.0,-1.0,0.1420000046491623,0.5899999737739563
43.0,-1.0,1.6160000562667847,2551,-1.0,-1.0,0.11699999868869781,0.5799999833106995
44.0,-1.0,1.4559999704360962,2609,-1.0,-1.0,0.09300000220537186,0.6150000095367432
45.0,-1.0,2.071000099182129,2667,-1.0,-1.0,0.12399999797344208,0.5799999833106995
46.0,-1.0,2.5320000648498535,2725,-1.0,-1.0,0.09799999743700027,0.6100000143051147
47.0,-1.0,1.8380000591278076,2783,-1.0,-1.0,0.10300000011920929,0.6050000190734863
48.0,-1.0,1.718000054359436,2841,-1.0,-1.0,0.11500000208616257,0.5350000262260437
49.0,-1.0,2.559999942779541,2899,-1.0,-1.0,0.08799999952316284,0.5350000262260437
50.0,-1.0,2.299999952316284,2957,-1.0,-1.0,0.08500000089406967,0.6150000095367432
51.0,-1.0,2.5829999446868896,3015,-1.0,-1.0,0.08100000023841858,0.5849999785423279
52.0,-1.0,3.372999906539917,3073,-1.0,-1.0,0.07500000298023224,0.5899999737739563
53.0,-1.0,2.503000020980835,3131,-1.0,-1.0,0.10100000351667404,0.5899999737739563
54.0,-1.0,1.9730000495910645,3189,-1.0,-1.0,0.09399999678134918,0.625
55.0,-1.0,2.1059999465942383,3247,-1.0,-1.0,0.08399999886751175,0.5799999833106995
56.0,-1.0,3.0239999294281006,3305,-1.0,-1.0,0.0560000017285347,0.5950000286102295
57.0,-1.0,2.877000093460083,3363,-1.0,-1.0,0.061000000685453415,0.5899999737739563
58.0,-1.0,3.0439999103546143,3421,-1.0,-1.0,0.05299999937415123,0.5600000023841858
59.0,-1.0,2.447999954223633,3479,-1.0,-1.0,0.0949999988079071,0.6050000190734863
60.0,-1.0,2.5490000247955322,3537,-1.0,-1.0,0.08299999684095383,0.6000000238418579
61.0,-1.0,2.5230000019073486,3595,-1.0,-1.0,0.06199999898672104,0.6100000143051147
62.0,-1.0,2.2920000553131104,3653,-1.0,-1.0,0.07400000095367432,0.6050000190734863
63.0,-1.0,1.9709999561309814,3711,-1.0,-1.0,0.08799999952316284,0.5799999833106995
64.0,-1.0,2.8919999599456787,3769,-1.0,-1.0,0.050999999046325684,0.574999988079071
