epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,1.0549999475479126,7,-1.0,-1.0,1.0290000438690186,0.5199999809265137
1.0,0.7889999747276306,15,-1.0,-1.0,0.6930000185966492,0.6000000238418579
2.0,0.7950000166893005,23,-1.0,-1.0,0.39899998903274536,0.47999998927116394
3.0,0.8669999837875366,31,-1.0,-1.0,0.33799999952316284,0.47999998927116394
4.0,0.9390000104904175,39,-1.0,-1.0,0.28299999237060547,0.5600000023841858
5.0,0.996999979019165,47,-1.0,-1.0,0.1850000023841858,0.5600000023841858
6.0,1.1679999828338623,55,-1.0,-1.0,0.08799999952316284,0.5199999809265137
7.0,1.2630000114440918,63,-1.0,-1.0,0.08699999749660492,0.5199999809265137
8.0,1.2829999923706055,71,-1.0,-1.0,0.03999999910593033,0.6399999856948853
9.0,1.3849999904632568,79,-1.0,-1.0,0.01899999938905239,0.6000000238418579
10.0,1.722000002861023,87,-1.0,-1.0,0.04500000178813934,0.5600000023841858
11.0,1.5210000276565552,95,-1.0,-1.0,0.05299999937415123,0.6000000238418579
12.0,1.3020000457763672,103,-1.0,-1.0,0.010999999940395355,0.6800000071525574
13.0,1.4800000190734863,111,-1.0,-1.0,0.08799999952316284,0.6000000238418579
14.0,1.2109999656677246,119,-1.0,-1.0,0.04800000041723251,0.6800000071525574
15.0,0.9779999852180481,127,-1.0,-1.0,0.035999998450279236,0.800000011920929
16.0,0.9290000200271606,135,-1.0,-1.0,0.017999999225139618,0.8399999737739563
17.0,1.3519999980926514,143,-1.0,-1.0,0.03500000014901161,0.6399999856948853
18.0,1.7239999771118164,151,-1.0,-1.0,0.04800000041723251,0.5600000023841858
19.0,1.8170000314712524,159,-1.0,-1.0,0.024000000208616257,0.5600000023841858
20.0,1.8980000019073486,167,-1.0,-1.0,0.008999999612569809,0.5600000023841858
21.0,1.8630000352859497,175,-1.0,-1.0,0.017999999225139618,0.6000000238418579
22.0,2.3389999866485596,183,-1.0,-1.0,0.08100000023841858,0.5600000023841858
23.0,2.2909998893737793,191,-1.0,-1.0,0.01899999938905239,0.5600000023841858
24.0,1.9240000247955322,199,-1.0,-1.0,0.01899999938905239,0.6000000238418579
25.0,1.9819999933242798,207,-1.0,-1.0,0.10999999940395355,0.6000000238418579
26.0,2.183000087738037,215,-1.0,-1.0,0.04399999976158142,0.6000000238418579
27.0,1.930999994277954,223,-1.0,-1.0,0.019999999552965164,0.5600000023841858
28.0,2.0820000171661377,231,-1.0,-1.0,0.03500000014901161,0.5600000023841858
29.0,2.2829999923706055,239,-1.0,-1.0,0.03099999949336052,0.6000000238418579
30.0,2.2190001010894775,247,-1.0,0.9869999885559082,0.035999998450279236,0.6000000238418579
