epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.7039999961853027,7,-1.0,-1.0,1.0809999704360962,0.5600000023841858
1.0,0.6629999876022339,15,-1.0,-1.0,0.5099999904632568,0.5199999809265137
2.0,0.6990000009536743,23,-1.0,-1.0,0.4519999921321869,0.5600000023841858
3.0,0.9470000267028809,31,-1.0,-1.0,0.26499998569488525,0.5199999809265137
4.0,0.8889999985694885,39,-1.0,-1.0,0.20600000023841858,0.6000000238418579
5.0,0.9919999837875366,47,-1.0,-1.0,0.15800000727176666,0.6000000238418579
6.0,1.128000020980835,55,-1.0,-1.0,0.07699999958276749,0.5600000023841858
7.0,1.0889999866485596,63,-1.0,-1.0,0.03799999877810478,0.6000000238418579
8.0,1.3370000123977661,71,-1.0,-1.0,0.050999999046325684,0.5600000023841858
9.0,1.7350000143051147,79,-1.0,-1.0,0.06800000369548798,0.5199999809265137
10.0,1.5240000486373901,87,-1.0,-1.0,0.02800000086426735,0.5600000023841858
11.0,1.555999994277954,95,-1.0,-1.0,0.0560000017285347,0.6000000238418579
12.0,1.8509999513626099,103,-1.0,-1.0,0.03799999877810478,0.5600000023841858
13.0,1.6080000400543213,111,-1.0,-1.0,0.04399999976158142,0.5600000023841858
14.0,1.746999979019165,119,-1.0,-1.0,0.04600000008940697,0.5600000023841858
15.0,1.8289999961853027,127,-1.0,-1.0,0.01600000075995922,0.5600000023841858
16.0,1.5240000486373901,135,-1.0,-1.0,0.024000000208616257,0.5600000023841858
17.0,1.5,143,-1.0,-1.0,0.010999999940395355,0.6000000238418579
18.0,1.6319999694824219,151,-1.0,-1.0,0.017999999225139618,0.6000000238418579
19.0,2.0160000324249268,159,-1.0,-1.0,0.006000000052154064,0.6000000238418579
20.0,2.193000078201294,167,-1.0,-1.0,0.00800000037997961,0.6000000238418579
21.0,2.2330000400543213,175,-1.0,-1.0,0.004000000189989805,0.6000000238418579
22.0,2.0929999351501465,183,-1.0,-1.0,0.014000000432133675,0.6000000238418579
23.0,1.9780000448226929,191,-1.0,-1.0,0.004000000189989805,0.6000000238418579
24.0,1.965999960899353,199,-1.0,-1.0,0.009999999776482582,0.6000000238418579
25.0,2.0829999446868896,207,-1.0,-1.0,0.013000000268220901,0.6000000238418579
26.0,2.49399995803833,215,-1.0,-1.0,0.02199999988079071,0.5600000023841858
27.0,3.191999912261963,223,-1.0,-1.0,0.007000000216066837,0.5600000023841858
28.0,3.372999906539917,231,-1.0,-1.0,0.004999999888241291,0.5600000023841858
29.0,3.0350000858306885,239,-1.0,-1.0,0.010999999940395355,0.6000000238418579
30.0,2.7809998989105225,247,-1.0,1.0,0.007000000216066837,0.5600000023841858
