epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,0.7960000038146973,3,-1.0,-1.0,0.8949999809265137,0.5299999713897705
1.0,-1.0,0.7649999856948853,7,-1.0,-1.0,0.6899999976158142,0.5099999904632568
2.0,-1.0,0.8930000066757202,11,-1.0,-1.0,0.7149999737739563,0.550000011920929
3.0,-1.0,1.0230000019073486,15,-1.0,-1.0,0.6259999871253967,0.5799999833106995
4.0,-1.0,0.7440000176429749,19,-1.0,-1.0,0.6779999732971191,0.5400000214576721
5.0,-1.0,0.8550000190734863,23,-1.0,-1.0,0.5680000185966492,0.5
6.0,-1.0,0.6859999895095825,27,-1.0,-1.0,0.6499999761581421,0.6100000143051147
7.0,-1.0,0.7829999923706055,31,-1.0,-1.0,0.49399998784065247,0.550000011920929
8.0,-1.0,0.8339999914169312,35,-1.0,-1.0,0.4320000112056732,0.5400000214576721
9.0,-1.0,0.7760000228881836,39,-1.0,-1.0,0.4620000123977661,0.550000011920929
10.0,-1.0,0.7139999866485596,43,-1.0,-1.0,0.44699999690055847,0.5899999737739563
11.0,-1.0,0.765999972820282,47,-1.0,-1.0,0.37299999594688416,0.6000000238418579
12.0,-1.0,0.8140000104904175,51,-1.0,-1.0,0.25099998712539673,0.6000000238418579
13.0,-1.0,1.0529999732971191,55,-1.0,-1.0,0.24799999594688416,0.5600000023841858
14.0,-1.0,0.9549999833106995,59,-1.0,-1.0,0.1720000058412552,0.5600000023841858
15.0,-1.0,1.0670000314712524,63,-1.0,-1.0,0.17100000381469727,0.6000000238418579
16.0,-1.0,1.0080000162124634,67,-1.0,-1.0,0.18700000643730164,0.5600000023841858
17.0,-1.0,1.0850000381469727,71,-1.0,-1.0,0.18400000035762787,0.5899999737739563
18.0,-1.0,1.2269999980926514,75,-1.0,-1.0,0.26899999380111694,0.5699999928474426
19.0,-1.0,1.437999963760376,79,-1.0,-1.0,0.13099999725818634,0.5600000023841858
20.0,-1.0,1.4040000438690186,83,-1.0,-1.0,0.1340000033378601,0.5099999904632568
21.0,-1.0,1.4919999837875366,87,-1.0,-1.0,0.11400000005960464,0.5400000214576721
22.0,-1.0,1.934999942779541,91,-1.0,-1.0,0.09600000083446503,0.5199999809265137
23.0,-1.0,1.9930000305175781,95,-1.0,-1.0,0.09600000083446503,0.5199999809265137
24.0,-1.0,1.7669999599456787,99,-1.0,-1.0,0.0729999989271164,0.5199999809265137
25.0,-1.0,1.8619999885559082,103,-1.0,-1.0,0.05400000140070915,0.5400000214576721
26.0,-1.0,2.2750000953674316,107,-1.0,-1.0,0.0989999994635582,0.6100000143051147
27.0,-1.0,2.2730000019073486,111,-1.0,-1.0,0.05999999865889549,0.6399999856948853
28.0,-1.0,2.1029999256134033,115,-1.0,-1.0,0.06700000166893005,0.6200000047683716
29.0,-1.0,2.431999921798706,119,-1.0,-1.0,0.03799999877810478,0.5899999737739563
30.0,-1.0,2.3989999294281006,123,-1.0,-1.0,0.06400000303983688,0.5699999928474426
31.0,-1.0,2.3369998931884766,127,-1.0,-1.0,0.024000000208616257,0.550000011920929
32.0,-1.0,2.494999885559082,131,-1.0,-1.0,0.09000000357627869,0.5400000214576721
33.0,-1.0,3.2119998931884766,135,-1.0,-1.0,0.020999999716877937,0.550000011920929
