epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.75,7,-1.0,-1.0,0.9620000123977661,0.5600000023841858
1.0,0.746999979019165,15,-1.0,-1.0,0.43700000643730164,0.5199999809265137
2.0,0.7559999823570251,23,-1.0,-1.0,0.4099999964237213,0.5199999809265137
3.0,0.9240000247955322,31,-1.0,-1.0,0.2759999930858612,0.5600000023841858
4.0,0.878000020980835,39,-1.0,-1.0,0.23399999737739563,0.6399999856948853
5.0,1.0490000247955322,47,-1.0,-1.0,0.0989999994635582,0.6000000238418579
6.0,1.3730000257492065,55,-1.0,-1.0,0.09600000083446503,0.5600000023841858
7.0,1.5269999504089355,63,-1.0,-1.0,0.09600000083446503,0.6399999856948853
8.0,1.718000054359436,71,-1.0,-1.0,0.04800000041723251,0.6399999856948853
9.0,1.5609999895095825,79,-1.0,-1.0,0.11100000143051147,0.6800000071525574
10.0,1.6339999437332153,87,-1.0,-1.0,0.07400000095367432,0.6800000071525574
11.0,1.7039999961853027,95,-1.0,-1.0,0.03200000151991844,0.6399999856948853
12.0,1.5570000410079956,103,-1.0,-1.0,0.04800000041723251,0.6399999856948853
13.0,1.715000033378601,111,-1.0,-1.0,0.14100000262260437,0.6399999856948853
14.0,1.8040000200271606,119,-1.0,-1.0,0.04899999871850014,0.6000000238418579
15.0,1.5410000085830688,127,-1.0,-1.0,0.07400000095367432,0.6399999856948853
16.0,1.6979999542236328,135,-1.0,-1.0,0.054999999701976776,0.6000000238418579
17.0,2.2269999980926514,143,-1.0,-1.0,0.020999999716877937,0.6800000071525574
18.0,2.184000015258789,151,-1.0,-1.0,0.013000000268220901,0.6800000071525574
19.0,2.2639999389648438,159,-1.0,-1.0,0.012000000104308128,0.6000000238418579
20.0,2.3420000076293945,167,-1.0,-1.0,0.023000000044703484,0.6000000238418579
21.0,2.552000045776367,175,-1.0,-1.0,0.009999999776482582,0.6000000238418579
22.0,2.24399995803833,183,-1.0,-1.0,0.023000000044703484,0.6000000238418579
23.0,2.687999963760376,191,-1.0,-1.0,0.0430000014603138,0.6399999856948853
24.0,3.566999912261963,199,-1.0,-1.0,0.050999999046325684,0.6000000238418579
25.0,1.8739999532699585,207,-1.0,-1.0,0.20100000500679016,0.6000000238418579
26.0,1.7790000438690186,215,-1.0,-1.0,0.25099998712539673,0.5600000023841858
27.0,1.5829999446868896,223,-1.0,-1.0,0.01899999938905239,0.6000000238418579
28.0,1.6119999885559082,231,-1.0,-1.0,0.028999999165534973,0.6000000238418579
29.0,1.8630000352859497,239,-1.0,-1.0,0.03200000151991844,0.5600000023841858
30.0,2.13100004196167,247,-1.0,0.9869999885559082,0.054999999701976776,0.5600000023841858
