epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.7609999775886536,7,-1.0,-1.0,1.8380000591278076,0.5199999809265137
1.0,0.7680000066757202,15,-1.0,-1.0,0.5299999713897705,0.5600000023841858
2.0,0.703000009059906,23,-1.0,-1.0,0.40700000524520874,0.5600000023841858
3.0,0.7760000228881836,31,-1.0,-1.0,0.3050000071525574,0.6000000238418579
4.0,0.7699999809265137,39,-1.0,-1.0,0.24799999594688416,0.5600000023841858
5.0,0.828000009059906,47,-1.0,-1.0,0.1420000046491623,0.6399999856948853
6.0,0.9559999704360962,55,-1.0,-1.0,0.12300000339746475,0.6000000238418579
7.0,1.003999948501587,63,-1.0,-1.0,0.0729999989271164,0.6000000238418579
8.0,1.090000033378601,71,-1.0,-1.0,0.050999999046325684,0.6399999856948853
9.0,1.187000036239624,79,-1.0,-1.0,0.03700000047683716,0.6399999856948853
10.0,1.3350000381469727,87,-1.0,-1.0,0.017999999225139618,0.6000000238418579
11.0,1.3370000123977661,95,-1.0,-1.0,0.019999999552965164,0.6000000238418579
12.0,1.3309999704360962,103,-1.0,-1.0,0.013000000268220901,0.6000000238418579
13.0,1.4249999523162842,111,-1.0,-1.0,0.03099999949336052,0.6399999856948853
14.0,1.5980000495910645,119,-1.0,-1.0,0.012000000104308128,0.6399999856948853
15.0,1.569000005722046,127,-1.0,-1.0,0.02199999988079071,0.6399999856948853
16.0,1.524999976158142,135,-1.0,-1.0,0.010999999940395355,0.6000000238418579
17.0,1.503000020980835,143,-1.0,-1.0,0.013000000268220901,0.6399999856948853
18.0,1.5720000267028809,151,-1.0,-1.0,0.008999999612569809,0.5600000023841858
19.0,1.5410000085830688,159,-1.0,-1.0,0.01600000075995922,0.5199999809265137
20.0,1.4889999628067017,167,-1.0,-1.0,0.009999999776482582,0.7200000286102295
21.0,1.4700000286102295,175,-1.0,-1.0,0.01899999938905239,0.5199999809265137
22.0,1.7979999780654907,183,-1.0,-1.0,0.014000000432133675,0.6000000238418579
23.0,1.3170000314712524,191,-1.0,-1.0,0.04100000113248825,0.6399999856948853
24.0,1.781999945640564,199,-1.0,-1.0,0.017999999225139618,0.6000000238418579
25.0,2.4149999618530273,207,-1.0,-1.0,0.05900000035762787,0.6000000238418579
26.0,1.906000018119812,215,-1.0,-1.0,0.125,0.5199999809265137
27.0,1.5850000381469727,223,-1.0,-1.0,0.20200000703334808,0.6000000238418579
28.0,1.934999942779541,231,-1.0,-1.0,0.03999999910593033,0.5600000023841858
29.0,1.9110000133514404,239,-1.0,-1.0,0.09099999815225601,0.6399999856948853
30.0,2.1059999465942383,247,-1.0,0.9599999785423279,0.09300000220537186,0.6399999856948853
