epoch,eval_loss,step,train_loss
0.0,0.0,303,0.6240000128746033
1.0,0.0010000000474974513,607,0.5770000219345093
2.0,0.006000000052154064,911,0.5609999895095825
3.0,0.0010000000474974513,1215,0.550000011920929
4.0,0.0020000000949949026,1519,0.5429999828338623
5.0,0.0,1823,0.5289999842643738
6.0,0.0010000000474974513,2127,0.5299999713897705
7.0,0.0,2431,0.5220000147819519
8.0,0.0,2735,0.5130000114440918
9.0,0.0,3039,0.5099999904632568
10.0,0.0,3343,0.5049999952316284
11.0,0.0020000000949949026,3647,0.49799999594688416
12.0,0.0,3951,0.49399998784065247
13.0,0.0,4255,0.49000000953674316
14.0,0.0,4559,0.47999998927116394
15.0,0.0,4863,0.4749999940395355
16.0,0.0,5167,0.46299999952316284
17.0,0.0,5471,0.46000000834465027
18.0,0.0,5775,0.45399999618530273
19.0,0.0,6079,0.45100000500679016
20.0,0.0,6383,0.4410000145435333
21.0,0.0,6687,0.4339999854564667
22.0,0.0,6991,0.4339999854564667
23.0,0.0,7295,0.414000004529953
24.0,0.0,7599,0.40799999237060547
25.0,0.0,7903,0.4050000011920929
26.0,0.0,8207,0.39100000262260437
27.0,0.0,8511,0.37299999594688416
28.0,0.0,8815,0.3790000081062317
29.0,0.0,9119,0.3709999918937683
30.0,0.0,9423,0.3479999899864197
31.0,0.0,9727,0.33899998664855957
32.0,0.0,10031,0.32899999618530273
33.0,0.0,10335,0.32899999618530273
34.0,0.0,10639,0.3140000104904175
35.0,0.0,10943,0.3019999861717224
36.0,0.0,11247,0.29100000858306885
37.0,0.0,11551,0.2800000011920929
38.0,0.0,11855,0.2849999964237213
39.0,0.0,12159,0.257999986410141
40.0,0.0,12463,0.24699999392032623
41.0,0.0,12767,0.25099998712539673
42.0,0.0,13071,0.23600000143051147
43.0,0.0,13375,0.22599999606609344
44.0,0.0,13679,0.22300000488758087
45.0,0.0,13983,0.21299999952316284
46.0,0.0,14287,0.2240000069141388
47.0,0.0,14591,0.2150000035762787
48.0,0.0,14895,0.1860000044107437
49.0,0.0,15199,0.19599999487400055
50.0,0.0,15503,0.18799999356269836
51.0,0.0,15807,0.18700000643730164
52.0,0.0,16111,0.17299999296665192
53.0,0.0,16415,0.17100000381469727
54.0,0.0,16719,0.1720000058412552
55.0,0.0,17023,0.16599999368190765
56.0,0.0,17327,0.17100000381469727
57.0,0.0,17631,0.16200000047683716
58.0,0.0,17935,0.15299999713897705
59.0,0.0,18239,0.1589999943971634
60.0,0.0,18543,0.1469999998807907
61.0,0.0,18847,0.14399999380111694
62.0,0.0,19151,0.13699999451637268
63.0,0.0,19455,0.14800000190734863
64.0,0.0,19759,0.14100000262260437
65.0,0.0,20063,0.13600000739097595
66.0,0.0,20367,0.1420000046491623
67.0,0.0,20671,0.13899999856948853
68.0,0.0,20975,0.13300000131130219
69.0,0.0,21279,0.12999999523162842
70.0,0.0,21583,0.1340000033378601
71.0,0.0,21887,0.11699999868869781
72.0,0.0,22191,0.12800000607967377
73.0,0.0,22495,0.11999999731779099
74.0,0.0,22799,0.11599999666213989
75.0,0.0,23103,0.11299999803304672
76.0,0.0,23407,0.11699999868869781
77.0,0.0,23711,0.11900000274181366
78.0,0.0,24015,0.11500000208616257
79.0,0.0,24319,0.11699999868869781
80.0,0.0,24623,0.12300000339746475
81.0,0.0,24927,0.11900000274181366
82.0,0.0,25231,0.10599999874830246
83.0,0.0,25535,0.1120000034570694
84.0,0.0,25839,0.10999999940395355
85.0,0.0,26143,0.11299999803304672
86.0,0.0,26447,0.10400000214576721
87.0,0.0,26751,0.10999999940395355
88.0,0.0,27055,0.0989999994635582
89.0,0.0,27359,0.10599999874830246
90.0,0.0,27663,0.10199999809265137
91.0,0.0,27967,0.0989999994635582
92.0,0.0,28271,0.10199999809265137
93.0,0.0,28575,0.08900000154972076
94.0,0.0,28879,0.1080000028014183
95.0,0.0,29183,0.09600000083446503
96.0,0.0,29487,0.10599999874830246
97.0,0.0,29791,0.10700000077486038
98.0,0.0,30095,0.1080000028014183
99.0,0.0,30399,0.0989999994635582
100.0,0.0,30703,0.09200000017881393
