05   [71.0, 59.0, 60.0, 64.0, 67.0, 66.0, 64.0, 66.0, 64.0, 63.0, 63.0, 64.0, 64.0, 62.0, 61.0, 62.0, 65.0, 66.0, 67.0, 62.0, 60.0, 67.0, 64.0, 64.0, 66.0, 64.0, 66.0, 64.0, 68.0, 68.0, 62.0, 64.0, 68.0, 68.0, 64.0, 63.0, 67.0, 63.0, 63.0, 70.0, 65.0, 66.0, 66.0, 64.0, 68.0, 67.0, 61.0, 63.0, 64.0, 63.0, 64.0, 72.0, 66.0, 63.0, 60.0, 64.0, 65.0, 59.0, 65.0, 62.0, 63.0, 69.0, 62.0, 68.0, 66.0, 67.0, 65.0, 67.0, 66.0, 59.0, 62.0, 66.0, 61.0, 64.0, 66.0, 62.0, 64.0, 67.0, 68.0, 60.0, 68.0, 70.0, 67.0, 61.0, 61.0, 66.0, 69.0, 66.0, 64.0, 68.0, 64.0, 69.0, 65.0, 69.0, 61.0, 68.0, 57.99999999999999, 69.0, 67.0, 56.00000000000001]Mean: 64.68Std dev: 3.0162228034414165

06   [78.0, 71.0, 72.0, 77.0, 72.0, 71.0, 72.0, 75.0, 75.0, 74.0, 76.0, 79.0, 78.0, 76.0, 73.0, 79.0, 78.0, 79.0, 78.0, 81.0, 74.0, 75.0, 73.0, 76.0, 72.0, 76.0, 78.0, 77.0, 71.0, 74.0, 79.0, 78.0, 78.0, 79.0, 74.0, 75.0, 69.0, 70.0, 80.0, 77.0, 72.0, 78.0, 78.0, 80.0, 78.0, 75.0, 75.0, 80.0, 72.0, 75.0, 76.0, 75.0, 75.0, 74.0, 74.0, 75.0, 75.0, 70.0, 79.0, 76.0, 81.0, 77.0, 80.0, 76.0, 78.0, 70.0, 76.0, 74.0, 76.0, 80.0, 79.0, 70.0, 73.0, 81.0, 77.0, 75.0, 75.0, 71.0, 80.0, 76.0, 77.0, 74.0, 75.0, 73.0, 75.0, 79.0, 78.0, 77.0, 79.0, 73.0, 77.0, 74.0, 81.0, 78.0, 78.0, 77.0, 80.0, 73.0, 76.0, 72.0]Mean: 75.82Std dev: 2.940680193424644

07   [86.0, 84.0, 88.0, 83.0, 83.0, 85.0, 88.0, 85.0, 83.0, 89.0, 83.0, 80.0, 88.0, 84.0, 86.0, 84.0, 81.0, 88.0, 87.0, 82.0, 85.0, 83.0, 82.0, 90.0, 83.0, 86.0, 86.0, 87.0, 82.0, 82.0, 86.0, 78.0, 83.0, 84.0, 90.0, 86.0, 86.0, 84.0, 87.0, 87.0, 83.0, 84.0, 86.0, 86.0, 83.0, 84.0, 88.0, 89.0, 87.0, 85.0, 84.0, 82.0, 85.0, 84.0, 77.0, 84.0, 91.0, 83.0, 83.0, 88.0, 87.0, 88.0, 84.0, 85.0, 86.0, 89.0, 86.0, 80.0, 87.0, 87.0, 86.0, 76.0, 86.0, 85.0, 85.0, 84.0, 88.0, 85.0, 85.0, 86.0, 84.0, 79.0, 88.0, 88.0, 80.0, 83.0, 85.0, 83.0, 83.0, 85.0, 79.0, 76.0, 88.0, 87.0, 88.0, 88.0, 88.0, 69.0, 80.0, 87.0]Mean: 84.63Std dev: 3.366466990778314

08   [81.0, 72.0, 79.0, 82.0, 78.0, 79.0, 79.0, 70.0, 80.0, 71.0, 79.0, 75.0, 76.0, 71.0, 78.0, 74.0, 76.0, 80.0, 72.0, 77.0, 70.0, 74.0, 76.0, 70.0, 76.0, 77.0, 78.0, 83.0, 80.0, 60.0, 74.0, 75.0, 73.0, 74.0, 79.0, 59.0, 76.0, 76.0, 78.0, 73.0, 76.0, 73.0, 76.0, 75.0, 79.0, 72.0, 59.0, 77.0, 82.0, 82.0, 76.0, 73.0, 78.0, 73.0, 76.0, 80.0, 77.0, 76.0, 75.0, 78.0, 77.0, 76.0, 78.0, 74.0, 80.0, 75.0, 75.0, 73.0, 76.0, 81.0, 82.0, 79.0, 79.0, 77.0, 78.0, 78.0, 79.0, 78.0, 74.0, 76.0, 74.0, 75.0, 76.0, 74.0, 76.0, 74.0, 79.0, 76.0, 77.0, 77.0, 65.0, 81.0, 75.0, 73.0, 79.0, 78.0, 75.0, 80.0, 78.0, 79.0]Mean: 75.89Std dev: 4.237676250021939

09   [56.00000000000001, 60.0, 55.00000000000001, 50.0, 56.00000000000001, 56.00000000000001, 54.0, 51.0, 55.00000000000001, 59.0, 52.0, 57.99999999999999, 51.0, 53.0, 52.0, 56.99999999999999, 56.99999999999999, 54.0, 56.00000000000001, 52.0, 54.0, 49.0, 50.0, 54.0, 53.0, 53.0, 56.00000000000001, 56.99999999999999, 57.99999999999999, 57.99999999999999, 56.99999999999999, 56.99999999999999, 55.00000000000001, 52.0, 48.0, 55.00000000000001, 53.0, 47.0, 52.0, 54.0, 51.0, 52.0, 50.0, 49.0, 55.00000000000001, 56.00000000000001, 50.0, 54.0, 52.0, 56.00000000000001, 53.0, 57.99999999999999, 56.00000000000001, 56.00000000000001, 56.00000000000001, 52.0, 57.99999999999999, 54.0, 54.0, 55.00000000000001, 57.99999999999999, 46.0, 53.0, 55.00000000000001, 51.0, 52.0, 46.0, 54.0, 57.99999999999999, 56.99999999999999, 53.0, 52.0, 55.00000000000001, 56.99999999999999, 55.00000000000001, 55.00000000000001, 56.00000000000001, 56.00000000000001, 56.99999999999999, 57.99999999999999, 55.00000000000001, 54.0, 56.00000000000001, 54.0, 56.00000000000001, 54.0, 55.00000000000001, 59.0, 61.0, 56.99999999999999, 56.99999999999999, 57.99999999999999, 55.00000000000001, 56.99999999999999, 53.0, 56.99999999999999, 56.99999999999999, 50.0, 50.0, 53.0]Mean: 54.35Std dev: 2.9945784344378086

