epoch,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,0.6850000023841858,8,-1.0,-1.0,0.7049999833106995,0.4000000059604645
1.0,0.6159999966621399,17,-1.0,-1.0,0.578000009059906,0.6000000238418579
2.0,0.5899999737739563,26,-1.0,-1.0,0.45899999141693115,0.800000011920929
3.0,0.5559999942779541,35,-1.0,-1.0,0.32499998807907104,0.699999988079071
4.0,0.5550000071525574,44,-1.0,-1.0,0.17299999296665192,0.800000011920929
5.0,0.722000002861023,53,-1.0,-1.0,0.14100000262260437,0.8999999761581421
6.0,0.9139999747276306,62,-1.0,-1.0,0.057999998331069946,0.800000011920929
7.0,0.9599999785423279,71,-1.0,-1.0,0.05299999937415123,0.800000011920929
8.0,1.0160000324249268,80,-1.0,-1.0,0.06599999964237213,0.8999999761581421
9.0,0.9919999837875366,89,-1.0,-1.0,0.04500000178813934,0.8999999761581421
10.0,1.5989999771118164,98,-1.0,-1.0,0.029999999329447746,0.800000011920929
11.0,1.6419999599456787,107,-1.0,-1.0,0.023000000044703484,0.6000000238418579
12.0,1.4950000047683716,116,-1.0,-1.0,0.009999999776482582,0.699999988079071
13.0,1.6390000581741333,125,-1.0,-1.0,0.014000000432133675,0.800000011920929
14.0,1.8489999771118164,134,-1.0,-1.0,0.003000000026077032,0.800000011920929
15.0,1.8969999551773071,143,-1.0,-1.0,0.008999999612569809,0.800000011920929
16.0,1.8609999418258667,152,-1.0,-1.0,0.003000000026077032,0.800000011920929
17.0,1.7869999408721924,161,-1.0,-1.0,0.004000000189989805,0.800000011920929
18.0,2.132999897003174,170,-1.0,-1.0,0.017000000923871994,0.800000011920929
19.0,2.36299991607666,179,-1.0,-1.0,0.003000000026077032,0.699999988079071
20.0,2.203000068664551,188,-1.0,-1.0,0.007000000216066837,0.699999988079071
21.0,1.5190000534057617,197,-1.0,-1.0,0.00800000037997961,0.699999988079071
22.0,2.9000000953674316,206,-1.0,-1.0,0.02800000086426735,0.800000011920929
23.0,0.4399999976158142,215,-1.0,-1.0,0.1809999942779541,0.800000011920929
24.0,0.6179999709129333,224,-1.0,-1.0,0.09099999815225601,0.800000011920929
25.0,0.7979999780654907,233,-1.0,-1.0,0.04899999871850014,0.699999988079071
26.0,0.7279999852180481,242,-1.0,-1.0,0.02500000037252903,0.800000011920929
27.0,0.6399999856948853,251,-1.0,-1.0,0.035999998450279236,0.800000011920929
28.0,1.0010000467300415,260,-1.0,-1.0,0.029999999329447746,0.800000011920929
29.0,1.3140000104904175,269,-1.0,-1.0,0.017999999225139618,0.800000011920929
30.0,1.4839999675750732,278,-1.0,0.9779999852180481,0.050999999046325684,0.6000000238418579
